ID,省份名,城市名,cv,con_y,env_y
21.0,吉林省,白城市,0.602895372229197,0.25324482399704173,0.19214424971167965
78.0,内蒙古自治区,包头市,0.683470003428423,0.30994938185275944,0.24209826496552622
32.0,北京市,北京市,0.620536341563878,0.2656596914482623,0.20308115675204058
23.0,安徽省,亳州市,0.604029111830379,0.25404269550885283,0.19284713651970364
19.0,广东省,潮州市,0.598208419817028,0.249946371863073,0.18923847045080244
,,成都市,0.575142976,0.23371401964595195,0.174938541116672
49.0,云南省,大理白族自治州,0.649383154327663,0.28596069362440146,0.22096537295482988
72.0,辽宁省,大连市,0.674308040086224,0.30350163182676027,0.23641810422833642
51.0,山西省,大同市,0.650322088396991,0.2866214703535591,0.22154748578765926
24.0,黑龙江省,大兴安岭地区,0.60440957786813,0.25431044924385215,0.19308301481006024
61.0,辽宁省,丹东市,0.663440296125145,0.2958534352786629,0.22968040726929834
71.0,山东省,德州市,0.674086970990725,0.30334605400866466,0.2362810475790617
33.0,广东省,佛山市,0.621757927656914,0.2665193851044084,0.20383850592531222
35.0,福建省,福州市,0.634943481119012,0.27579874472446686,0.21201317987631607
44.0,江西省,赣州市,0.644391568698236,0.282447855254521,0.21787072962898274
69.0,宁夏回族自治区,固原市,0.670844831304423,0.3010643917201502,0.23427101175346565
15.0,广东省,广州市,0.590922957193478,0.24481921297082454,0.18472168761715496
50.0,贵州省,贵阳市,0.649411243155851,0.28598046119341636,0.2209827872418192
18.0,广西壮族自治区,桂林市,0.594323759341344,0.24721253428398948,0.18683008972637172
16.0,黑龙江省,哈尔滨市,0.593653160227888,0.24674059881669663,0.1864143370528042
4.0,海南省,海口市,0.556923056326988,0.22089171473623043,0.1636427010771554
26.0,河北省,邯郸市,0.610785666241914,0.2587976341890794,0.1970360110713319
,,杭州市,0.633350585,0.2746777408949199,0.21102562888361998
,,杭州市萧山区,0.652632791,0.288247631931832,0.222980056701852
73.0,安徽省,合肥市,0.674746730063402,0.3038103607755792,0.23669007973086742
37.0,湖南省,衡阳市,0.63782294984759,0.27782517660114114,0.21379836986291006
56.0,内蒙古自治区,呼和浩特市,0.655631607926376,0.2903580553414029,0.22483923922933113
77.0,内蒙古自治区,呼伦贝尔市,0.682324024113641,0.3091428966180231,0.2413877898777822
92.0,浙江省,湖州市,0.711150836187384,0.32942982326854375,0.2592596062127648
48.0,安徽省,黄山市,0.648446682739974,0.2853016498716222,0.22038478679166718
68.0,山东省,济南市,0.670235227341332,0.30063538171191706,0.23389307436526025
34.0,山东省,济宁市,0.634166816508689,0.2752521654516229,0.2115316695645249
85.0,浙江省,嘉兴市,0.702186035508829,0.3231208268614094,0.2537016808064797
60.0,浙江省,金华市,0.659218497169803,0.29288233582024314,0.22706301012735702
42.0,新疆维吾尔自治区,喀什地区,0.64156848342993,0.28046110335078,0.21612049580902054
,,昆明市,0.55145986,0.21704697939472,0.16025567232392002
11.0,西藏自治区,拉萨市,0.585073208321767,0.24070244050286016,0.18109500710966253
70.0,甘肃省,兰州市,0.67261011241504,0.30230671183230917,0.23536543661417714
91.0,四川省,乐山市,0.708090963664118,0.32727643186055033,0.25736257092477055
67.0,山东省,临沂市,0.670135273471629,0.3005650389762058,0.23383110576475274
59.0,广西壮族自治区,柳州市,0.658591602434785,0.29244115739668475,0.22667435294469845
31.0,河南省,洛阳市,0.620002112302515,0.2652837265371195,0.2027499495684148
82.0,四川省,绵阳市,0.693632455981327,0.3171012281617708,0.24839870099965522
86.0,江西省,南昌市,0.704074992716608,0.3244501842742983,0.25487278138450087
62.0,四川省,南充市,0.663641547340818,0.29599506622419536,0.22980517738798167
84.0,江苏省,南京市,0.698122511950215,0.3202611140299877,0.2511824099787987
2.0,广西壮族自治区,南宁市,0.530241580670561,0.20211457288006862,0.14710093325148904
10.0,河南省,南阳市,0.58427391235027,0.24013993436432723,0.1805994659876216
93.0,浙江省,宁波市,0.71367298093199,0.3312047876768498,0.2608232653343677
100.0,江西省,萍乡市,0.752122151891691,0.35826346863808123,0.2846606747525954
27.0,贵州省,黔西南布依族苗族自治州,0.611939587286895,0.259609708432327,0.1977514098094309
96.0,河北省,秦皇岛市,0.72826339973227,0.3414728240883844,0.26986891645881483
,,青岛市,0.686870834,0.312342723169168,0.24420668469664797
,,青岛市黄岛区,0.704543798,0.32478010693009596,0.25516342753365595
25.0,广东省,清远市,0.607208724169949,0.25628035405204985,0.19481840714109155
40.0,甘肃省,庆阳市,0.640971030787131,0.280040644858505,0.21575009189915917
5.0,福建省,泉州市,0.563411452770613,0.22545793671022446,0.16766532519710248
7.0,海南省,三亚市,0.573286285746455,0.2324073701666391,0.1737874451468011
75.0,福建省,厦门市,0.676802489268037,0.3052571054273595,0.23796459287648342
36.0,上海市,上海市,0.637214477364907,0.277396962874508,0.21342113396087609
41.0,广东省,韶关市,0.641251050342503,0.28023770918063706,0.21592369618294216
87.0,浙江省,绍兴市,0.705719084759357,0.3256072173375669,0.2558920724164281
13.0,广东省,深圳市,0.586628052074626,0.24179666490362217,0.18205896670081
55.0,辽宁省,沈阳市,0.654904565597896,0.2898463978486505,0.22438849334285882
65.0,湖北省,十堰市,0.666737653696752,0.29817395726439655,0.2317246766376827
81.0,河北省,石家庄市,0.691980494796637,0.31593865717412284,0.2473745313200606
64.0,黑龙江省,双鸭山市,0.665943932180093,0.2976153741596047,0.23123259152155656
83.0,江苏省,苏州市,0.695948291560051,0.3187310020819689,0.2498344542150679
74.0,浙江省,台州市,0.67558766105666,0.30440216764394656,0.23721143340061962
43.0,山西省,太原市,0.641742227922922,0.28058337638521214,0.21622821252982977
53.0,山东省,泰安市,0.65244598725547,0.28811616842301147,0.2228642436107482
95.0,天津市,天津市,0.722111034016003,0.3371430844108301,0.2660546219809693
88.0,山东省,潍坊市,0.706899056756258,0.32643762499033,0.25662362201529076
38.0,浙江省,温州市,0.639029568001804,0.2786743365404055,0.21454643933321443
6.0,云南省,文山壮族苗族自治州,0.571242594933603,0.23096911866971298,0.1725204140661757
99.0,新疆维吾尔自治区,乌鲁木齐市,0.74849265550374,0.35570920329606803,0.2824104886179647
90.0,江苏省,无锡市,0.707810487267955,0.32707904603579785,0.2571886834124887
66.0,湖北省,武汉市,0.668653447971891,0.29952220131711416,0.2329124154460292
20.0,陕西省,西安市,0.602103526820923,0.2526875612072782,0.19165332773022126
98.0,青海省,西宁市,0.728942597197396,0.3419508106628617,0.27028999986966395
39.0,湖北省,咸宁市,0.640525005872739,0.27972675393295177,0.21547356894093372
17.0,陕西省,咸阳市,0.594189662493808,0.24711816335934234,0.18674695343561115
28.0,河南省,新乡市,0.612514792841067,0.2600145104914865,0.19810802114726195
97.0,山东省,烟台市,0.728512186683828,0.3416479084031173,0.2700231574027462
54.0,吉林省,延边朝鲜族自治州,0.652625700808967,0.28824264219571216,0.22297566098193689
79.0,山西省,阳泉市,0.683959408437644,0.31029380160680875,0.24240168236790305
76.0,四川省,宜宾市,0.677448518044889,0.30571174947112667,0.23836511262932591
,,义乌市,0.668999956,0.2997660570349119,0.23312724072123192
58.0,宁夏回族自治区,银川市,0.657155691678832,0.29143063233036137,0.2257841284815088
1.0,陕西省,榆林市,0.496316653362755,0.1782398374373455,0.12606842821861391
94.0,青海省,玉树藏族自治州,0.721891182828863,0.336988363698178,0.2659183204007758
8.0,广东省,湛江市,0.578398893389881,0.23600537802091548,0.1769571187327113
22.0,湖南省,张家界市,0.603045376922015,0.2533503900996219,0.19223724842109546
46.0,甘肃省,张掖市,0.647016538669007,0.284295183121391,0.2194981375117016
12.0,福建省,漳州市,0.585595821535769,0.24107023059744037,0.1814190126691737
14.0,吉林省,长春市,0.590332401257742,0.24440360804993844,0.18435555947256482
30.0,湖南省,长沙市,0.618901818024221,0.2645093922381815,0.20206779792411228
80.0,江苏省,镇江市,0.690171105995168,0.31466529618631134,0.2462527609260362
9.0,河南省,郑州市,0.580209290324137,0.23727944848419202,0.17807951414083584
45.0,重庆市,重庆市,0.645585000365578,0.28328773517727623,0.2186106238466481
47.0,广东省,珠海市,0.648063243270098,0.285031803577818,0.22014706505664916
63.0,山东省,淄博市,0.665626174237208,0.29739175137178353,0.2310355904941903
29.0,贵州省,遵义市,0.613619111968056,0.26079167728574326,0.19879266808505958
